Province;Crime Category;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Republic of South Africa;Murder;17805;18673;19016;20336;21022;21325;19972;25181;27494;27621
Republic of South Africa;Sexual offences;53617;51895;49660;50108;52420;53293;46214;52694;53498;53285
Republic of South Africa;Attempted murder;17537;18127;18205;18233;18980;18635;18707;22095;25131;28451
Republic of South Africa;Assault with the intent to inflict grievous bodily harm;182556;182933;170616;167352;170979;166720;143393;162842;169374;179572
Republic of South Africa;Common assault;161486;164958;156450;156243;162012;165494;149442;169963;185374;190399
Republic of South Africa;Common robbery;54927;54110;53418;50730;51765;51825;37648;41600;47057;49056
Republic of South Africa;Robbery with aggravating circumstances;129045;132527;140956;138364;140032;143990;119841;132788;146125;150317
Republic of South Africa;Contact crime (Crimes against the person);616973;623223;608321;601366;617210;621282;535217;607163;654053;678701
Republic of South Africa;Rape;43195;41503;39828;40035;41583;42289;36330;41739;42780;42569
Republic of South Africa;Sexual assault;6087;6212;6271;6786;7437;7749;7025;7798;7483;7418
Republic of South Africa;Attempted sexual offences;2641;2573;2073;2066;2146;2076;1800;2027;2376;2558
Republic of South Africa;Contact sexual offences;1694;1607;1488;1221;1254;1179;1059;1130;859;740
Republic of South Africa;Carjacking;12773;14602;16717;16325;16026;18162;16731;20923;22702;22735
Republic of South Africa;Robbery at residential premises;20281;20820;22343;22261;22431;21130;20870;21832;23065;23614
Republic of South Africa;Robbery at non-residential premises;19170;19698;20680;20047;19991;20651;18231;20012;20054;18592
Republic of South Africa;TRIO Crime;52224;55120;59740;58612;58448;59943;55831;62767;65821;64941
Republic of South Africa;Robbery of cash in transit;119;137;152;238;183;164;195;238;238;211
Republic of South Africa;Bank robbery;17;6;3;13;4;0;2;13;4;3
""
Republic of South Africa;Arson;5127;4903;4321;3869;4083;3783;3238;4102;3626;3419
Republic of South Africa;Malicious damage to property;120662;119901;116409;111492;113089;108461;99031;113403;115118;112466
Republic of South Africa;Contact-related crime;125789;124804;120730;115361;117172;112244;102269;117505;118744;115885
Republic of South Africa;Burglary at non-residential premises;74358;75008;75618;71195;71224;69713;65508;62197;62588;58055
Republic of South Africa;Burglary at residential premises;253716;250606;246654;228094;220865;205959;159721;156170;163493;154041
Republic of South Africa;Theft of motor vehicle and motorcycle;55090;53809;53307;50663;48324;46921;35023;37402;37461;36695
Republic of South Africa;Theft out of or from motor vehicle;145358;139386;138172;129174;125076;118213;83183;81504;87173;86639
Republic of South Africa;Stock-theft;24965;24715;26902;28849;29672;28418;26310;25001;25255;24935
Republic of South Africa;Property-related crime;553487;543524;540653;507975;495161;469224;369745;362274;375970;360365
Republic of South Africa;All theft not mentioned elsewhere;360541;340372;328272;302656;300457;282817;224345;249215;275452;265290
Republic of South Africa;Commercial crime;67830;69917;73550;73277;83823;83869;82890;102057;112592;127510
Republic of South Africa;Shoplifting;71327;68786;67454;62180;60167;59883;47331;42549;49697;53117
Republic of South Africa;Other serious crime;499698;479075;469276;438113;444447;426569;354566;393821;437741;445917
Republic of South Africa;17 Community reported serious crime;1795947;1770626;1738980;1662815;1673990;1629319;1361797;1480763;1586508;1600868
Republic of South Africa;Illegal possession of firearms and ammunition;15116;14772;16134;17558;15736;15779;12930;13549;15649;15846
""
Republic of South Africa;Driving under the influence of alcohol or drugs;68561;76159;75034;86160;82912;94273;35860;43873;41768;58187
Republic of South Africa;Sexual offences detected as a result of police action;6340;5830;6164;6701;7976;9614;6946;7242;9589;10823
Republic of South Africa;Crime detected as a result of police action;356919;355926;390021;433966;339281;290176;177095;204990;229128;257855
Republic of South Africa;Kidnapping;4692;5013;4991;5628;5693;6623;6036;10826;15342;17061
Eastern Cape;Murder;3321;3649;3628;3815;3965;3879;3713;4407;5150;5083
Eastern Cape;Sexual offences;9224;8797;8050;8094;8731;8708;7445;8404;8269;8099
Eastern Cape;Attempted murder;1832;2052;2110;2232;2305;2409;2104;2155;2519;2499
Eastern Cape;Assault with the intent to inflict grievous bodily harm;25431;24818;23241;23133;24125;23376;20238;22933;24218;24844
Eastern Cape;Common assault;11848;11475;11100;11171;11943;12527;11399;13930;15095;15041
Eastern Cape;Common robbery;3753;3690;3707;3463;3769;3663;2736;2836;2903;3029
Eastern Cape;Robbery with aggravating circumstances;13245;12777;13688;13485;13578;13983;11458;11916;13021;13235
Eastern Cape;Contact crime (Crimes against the person);68654;67258;65524;65393;68416;68545;59093;66581;71175;71830
Eastern Cape;Rape;7934;7437;6836;6821;7305;7282;6114;6969;6829;6787
Eastern Cape;Sexual assault;636;747;753;805;890;896;891;956;913;804
Eastern Cape;Attempted sexual offences;440;430;301;318;388;396;320;361;419;431
Eastern Cape;Contact sexual offences;214;183;160;150;148;134;120;118;108;77
Eastern Cape;Carjacking;769;956;955;999;1048;1111;996;1342;1866;1901
Eastern Cape;Robbery at residential premises;1811;2054;2171;2184;2188;2120;2101;1891;2154;2221
Eastern Cape;Robbery at non-residential premises;2474;2218;2369;2395;2373;2382;1954;2314;2205;2186
Eastern Cape;TRIO Crime;5054;5228;5495;5578;5609;5613;5051;5547;6225;6308
Eastern Cape;Robbery of cash in transit;10;19;11;23;46;21;32;37;45;50
Eastern Cape;Bank robbery;0;0;1;0;1;0;1;3;2;1
Eastern Cape;Truck hijacking;34;54;82;92;110;124;159;136;176;234
Eastern Cape;Arson;785;679;748;605;698;666;560;592;583;502
Eastern Cape;Malicious damage to property;12399;11819;12062;11422;12040;12055;11113;12574;12874;12052
Eastern Cape;Contact-related crime;13184;12498;12810;12027;12738;12721;11673;13166;13457;12554
Eastern Cape;Burglary at non-residential premises;7810;7470;7755;7446;7691;7477;7717;6725;7698;6533
Eastern Cape;Burglary at residential premises;24329;23901;24385;23758;23393;22233;18521;18471;18916;17298
""
Eastern Cape;Theft out of or from motor vehicle;12034;11225;12195;11649;11671;10931;8349;8160;8681;8196
Eastern Cape;Stock-theft;6087;5809;6023;6217;6736;6800;6399;5363;5561;5903
Eastern Cape;Property-related crime;53536;51083;53097;51513;51875;49576;42515;40587;42549;39354
Eastern Cape;All theft not mentioned elsewhere;25597;23429;24486;23174;24277;24188;21068;23395;25440;22760
Eastern Cape;Commercial crime;5546;6155;6567;6437;7283;8396;8665;10140;10295;11786
Eastern Cape;Shoplifting;6045;5654;5408;4645;4711;4896;3266;3007;3768;4189
Eastern Cape;Other serious crime;37188;35238;36461;34256;36271;37480;32999;36542;39503;38735
Eastern Cape;17 Community reported serious crime;172562;166077;167892;163189;169300;168322;146280;156876;166684;162473
