Province,Crime_Category,Year,Total_Crimes,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive,Narcotics,Smuggling,Total,Total Cases
Republic of South Africa,Murder,2014,17805.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Sexual offences,2014,53617.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Attempted murder,2014,17537.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Assault with the intent to inflict grievous bodily harm,2014,182556.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Common assault,2014,161486.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Common robbery,2014,54927.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Robbery with aggravating circumstances,2014,129045.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Contact crime (Crimes against the person),2014,616973.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Rape,2014,43195.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Sexual assault,2014,6087.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Attempted sexual offences,2014,2641.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Contact sexual offences,2014,1694.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Carjacking,2014,12773.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Robbery at residential premises,2014,20281.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Robbery at non-residential premises,2014,19170.0,,,,,,,,,,,,,,,,,
Republic of South Africa,TRIO Crime,2014,52224.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Robbery of cash in transit,2014,119.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Bank robbery,2014,17.0,,,,,,,,,,,,,,,,,
Eastern Cape,All theft not mentioned elsewhere,2014,4747.5,,,,,,,,,,,,,,,,,
Republic of South Africa,Arson,2014,5127.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Malicious damage to property,2014,120662.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Contact-related crime,2014,125789.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Burglary at non-residential premises,2014,74358.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Burglary at residential premises,2014,253716.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Theft of motor vehicle and motorcycle,2014,55090.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Theft out of or from motor vehicle,2014,145358.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Stock-theft,2014,24965.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Property-related crime,2014,553487.0,,,,,,,,,,,,,,,,,
Republic of South Africa,All theft not mentioned elsewhere,2014,360541.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Commercial crime,2014,67830.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Shoplifting,2014,71327.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Other serious crime,2014,499698.0,,,,,,,,,,,,,,,,,
Republic of South Africa,17 Community reported serious crime,2014,1795947.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Illegal possession of firearms and ammunition,2014,15116.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Driving under the influence of alcohol or drugs,2014,68561.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Sexual offences detected as a result of police action,2014,6340.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Crime detected as a result of police action,2014,356919.0,,,,,,,,,,,,,,,,,
Republic of South Africa,Kidnapping,2014,4692.0,,,,,,,,,,,,,,,,,
Eastern Cape,Murder,2014,3321.0,,,,,,,,,,,,,,,,,
Eastern Cape,Sexual offences,2014,9224.0,,,,,,,,,,,,,,,,,
Eastern Cape,Attempted murder,2014,1832.0,,,,,,,,,,,,,,,,,
Eastern Cape,Assault with the intent to inflict grievous bodily harm,2014,25431.0,,,,,,,,,,,,,,,,,
Eastern Cape,Common assault,2014,11848.0,,,,,,,,,,,,,,,,,
Eastern Cape,Common robbery,2014,3753.0,,,,,,,,,,,,,,,,,
Eastern Cape,Robbery with aggravating circumstances,2014,13245.0,,,,,,,,,,,,,,,,,
Eastern Cape,Contact crime (Crimes against the person),2014,68654.0,,,,,,,,,,,,,,,,,
Eastern Cape,Rape,2014,7934.0,,,,,,,,,,,,,,,,,
Eastern Cape,Sexual assault,2014,636.0,,,,,,,,,,,,,,,,,
Eastern Cape,Attempted sexual offences,2014,440.0,,,,,,,,,,,,,,,,,
Eastern Cape,Contact sexual offences,2014,214.0,,,,,,,,,,,,,,,,,
Eastern Cape,Carjacking,2014,769.0,,,,,,,,,,,,,,,,,
Eastern Cape,Robbery at residential premises,2014,1811.0,,,,,,,,,,,,,,,,,
Eastern Cape,Robbery at non-residential premises,2014,2474.0,,,,,,,,,,,,,,,,,
Eastern Cape,TRIO Crime,2014,5054.0,,,,,,,,,,,,,,,,,
Eastern Cape,Robbery of cash in transit,2014,10.0,,,,,,,,,,,,,,,,,
Eastern Cape,Bank robbery,2014,0.0,,,,,,,,,,,,,,,,,
Eastern Cape,Truck hijacking,2014,34.0,,,,,,,,,,,,,,,,,
Eastern Cape,Arson,2014,785.0,,,,,,,,,,,,,,,,,
Eastern Cape,Malicious damage to property,2014,12399.0,,,,,,,,,,,,,,,,,
Eastern Cape,Contact-related crime,2014,13184.0,,,,,,,,,,,,,,,,,
Eastern Cape,Burglary at non-residential premises,2014,7810.0,,,,,,,,,,,,,,,,,
Eastern Cape,Burglary at residential premises,2014,24329.0,,,,,,,,,,,,,,,,,
Eastern Cape,Theft out of or from motor vehicle,2014,12034.0,,,,,,,,,,,,,,,,,
Eastern Cape,Stock-theft,2014,6087.0,,,,,,,,,,,,,,,,,
Eastern Cape,Property-related crime,2014,53536.0,,,,,,,,,,,,,,,,,
Eastern Cape,All theft not mentioned elsewhere,2014,25597.0,,,,,,,,,,,,,,,,,
Eastern Cape,Commercial crime,2014,5546.0,,,,,,,,,,,,,,,,,
Eastern Cape,Shoplifting,2014,6045.0,,,,,,,,,,,,,,,,,
Eastern Cape,Other serious crime,2014,37188.0,,,,,,,,,,,,,,,,,
Eastern Cape,17 Community reported serious crime,2014,172562.0,,,,,,,,,,,,,,,,,
Eastern Cape,Illegal possession of firearms and ammunition,2014,1719.0,,,,,,,,,,,,,,,,,
Eastern Cape,Drug-related crime,2014,16038.0,,,,,,,,,,,,,,,,,
Eastern Cape,Driving under the influence of alcohol or drugs,2014,6946.0,,,,,,,,,,,,,,,,,
Eastern Cape,Sexual offences detected as a result of police action,2014,219.0,,,,,,,,,,,,,,,,,
Eastern Cape,Crime detected as a result of police action,2014,24922.0,,,,,,,,,,,,,,,,,
Eastern Cape,Kidnapping,2014,407.0,,,,,,,,,,,,,,,,,
Free State,Murder,2014,943.0,,,,,,,,,,,,,,,,,
Free State,Sexual offences,2014,4094.0,,,,,,,,,,,,,,,,,
Free State,Attempted murder,2014,816.0,,,,,,,,,,,,,,,,,
Free State,Assault with the intent to inflict grievous bodily harm,2014,13458.0,,,,,,,,,,,,,,,,,
Free State,Common assault,2014,15243.0,,,,,,,,,,,,,,,,,
Free State,Common robbery,2014,2521.0,,,,,,,,,,,,,,,,,
Free State,Robbery with aggravating circumstances,2014,5239.0,,,,,,,,,,,,,,,,,
Free State,Contact crime (Crimes against the person),2014,42314.0,,,,,,,,,,,,,,,,,
Free State,Rape,2014,3290.0,,,,,,,,,,,,,,,,,
Free State,Sexual assault,2014,441.0,,,,,,,,,,,,,,,,,
Free State,Attempted sexual offences,2014,208.0,,,,,,,,,,,,,,,,,
Free State,Contact sexual offences,2014,155.0,,,,,,,,,,,,,,,,,
Free State,Carjacking,2014,270.0,,,,,,,,,,,,,,,,,
Free State,Robbery at non-residential premises,2014,852.0,,,,,,,,,,,,,,,,,
Free State,TRIO Crime,2014,1840.0,,,,,,,,,,,,,,,,,
Free State,Robbery of cash in transit,2014,9.0,,,,,,,,,,,,,,,,,
Free State,Bank robbery,2014,2.0,,,,,,,,,,,,,,,,,
Free State,Truck hijacking,2014,89.0,,,,,,,,,,,,,,,,,
Free State,Arson,2014,287.0,,,,,,,,,,,,,,,,,
Free State,Malicious damage to property,2014,7655.0,,,,,,,,,,,,,,,,,
Free State,Contact-related crime,2014,7942.0,,,,,,,,,,,,,,,,,
Free State,Burglary at non-residential premises,2014,4875.0,,,,,,,,,,,,,,,,,
Free State,Burglary at residential premises,2014,15618.0,,,,,,,,,,,,,,,,,
Free State,Theft of motor vehicle and motorcycle,2014,1743.0,,,,,,,,,,,,,,,,,
Free State,Theft out of or from motor vehicle,2014,5399.0,,,,,,,,,,,,,,,,,
Free State,Stock-theft,2014,3527.0,,,,,,,,,,,,,,,,,
Free State,Property-related crime,2014,31162.0,,,,,,,,,,,,,,,,,
Free State,All theft not mentioned elsewhere,2014,17180.0,,,,,,,,,,,,,,,,,
Free State,Commercial crime,2014,3806.0,,,,,,,,,,,,,,,,,
Free State,Shoplifting,2014,3148.0,,,,,,,,,,,,,,,,,
Free State,Other serious crime,2014,24134.0,,,,,,,,,,,,,,,,,
Free State,Illegal possession of firearms and ammunition,2014,442.0,,,,,,,,,,,,,,,,,
Free State,Drug-related crime,2014,8776.0,,,,,,,,,,,,,,,,,
Free State,Driving under the influence of alcohol or drugs,2014,1976.0,,,,,,,,,,,,,,,,,
Free State,Sexual offences detected as a result of police action,2014,193.0,,,,,,,,,,,,,,,,,
Free State,Crime detected as a result of police action,2014,11387.0,,,,,,,,,,,,,,,,,
Free State,Kidnapping,2014,211.0,,,,,,,,,,,,,,,,,
Gauteng,Murder,2014,3671.0,,,,,,,,,,,,,,,,,
Gauteng,Sexual offences,2014,9902.0,,,,,,,,,,,,,,,,,
Gauteng,Attempted murder,2014,4202.0,,,,,,,,,,,,,,,,,
Gauteng,Assault with the intent to inflict grievous bodily harm,2014,41830.0,,,,,,,,,,,,,,,,,
Gauteng,Common robbery,2014,17379.0,,,,,,,,,,,,,,,,,
Gauteng,Robbery with aggravating circumstances,2014,47362.0,,,,,,,,,,,,,,,,,
Gauteng,Contact crime (Crimes against the person),2014,167264.0,,,,,,,,,,,,,,,,,
Gauteng,Rape,2014,7916.0,,,,,,,,,,,,,,,,,
Gauteng,Sexual assault,2014,1228.0,,,,,,,,,,,,,,,,,
Gauteng,Attempted sexual offences,2014,431.0,,,,,,,,,,,,,,,,,
Gauteng,Contact sexual offences,2014,327.0,,,,,,,,,,,,,,,,,
Gauteng,Carjacking,2014,6867.0,,,,,,,,,,,,,,,,,
Gauteng,Robbery at residential premises,2014,8174.0,,,,,,,,,,,,,,,,,
Gauteng,Robbery at non-residential premises,2014,6329.0,,,,,,,,,,,,,,,,,
Gauteng,TRIO Crime,2014,21370.0,,,,,,,,,,,,,,,,,
Gauteng,Robbery of cash in transit,2014,39.0,,,,,,,,,,,,,,,,,
Gauteng,Bank robbery,2014,9.0,,,,,,,,,,,,,,,,,
Gauteng,Truck hijacking,2014,804.0,,,,,,,,,,,,,,,,,
Gauteng,Arson,2014,1042.0,,,,,,,,,,,,,,,,,
Gauteng,Malicious damage to property,2014,34805.0,,,,,,,,,,,,,,,,,
Gauteng,Contact-related crime,2014,35847.0,,,,,,,,,,,,,,,,,
Gauteng,Burglary at non-residential premises,2014,16983.0,,,,,,,,,,,,,,,,,
Gauteng,Burglary at residential premises,2014,66172.0,,,,,,,,,,,,,,,,,
Gauteng,Theft of motor vehicle and motorcycle,2014,27147.0,,,,,,,,,,,,,,,,,
Gauteng,Theft out of or from motor vehicle,2014,44809.0,,,,,,,,,,,,,,,,,
Gauteng,Stock-theft,2014,801.0,,,,,,,,,,,,,,,,,
Gauteng,Property-related crime,2014,155912.0,,,,,,,,,,,,,,,,,
Gauteng,All theft not mentioned elsewhere,2014,109422.0,,,,,,,,,,,,,,,,,
Gauteng,Commercial crime,2014,23836.0,,,,,,,,,,,,,,,,,
Gauteng,Shoplifting,2014,22562.0,,,,,,,,,,,,,,,,,
Gauteng,17 Community reported serious crime,2014,514843.0,,,,,,,,,,,,,,,,,
Gauteng,Illegal possession of firearms and ammunition,2014,3740.0,,,,,,,,,,,,,,,,,
Gauteng,Drug-related crime,2014,70264.0,,,,,,,,,,,,,,,,,
Gauteng,Driving under the influence of alcohol or drugs,2014,25794.0,,,,,,,,,,,,,,,,,
Gauteng,Sexual offences detected as a result of police action,2014,469.0,,,,,,,,,,,,,,,,,
Gauteng,Crime detected as a result of police action,2014,100267.0,,,,,,,,,,,,,,,,,
Gauteng,Kidnapping,2014,1595.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Sexual offences,2014,9079.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Attempted murder,2014,3918.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Assault with the intent to inflict grievous bodily harm,2014,29201.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Common assault,2014,24011.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Common robbery,2014,7857.0,,,,,,,,,,,,,,,,,
KwaZulu-Natal,Robbery with aggravating circumstances,2014,20881.0,,,,,,,,,,,,,,,,,
